sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
5,0.15,0.9,0.7,13.06174697054237,21.67628669738769
5,0.15,0.9,0.8,11.568777082057355,19.917377471923828
5,0.15,0.9,0.9,10.986554083116884,28.790706634521484
5,0.15,0.9,1.0,10.986554083116884,28.790706634521484
5,0.15,1.0,0.0,15.597672923819974,16.426977157592773
5,0.15,1.0,0.1,15.77465478649762,15.128399848937988
5,0.15,1.0,0.2,15.815671650965356,20.214370727539062
5,0.15,1.0,0.3,15.74080857962458,21.751876831054688
5,0.15,1.0,0.4,15.325444827089695,23.263961791992188
5,0.15,1.0,0.5,14.437073601009535,24.017906188964844
5,0.15,1.0,0.6,13.432393026401366,24.96469116210937
5,0.15,1.0,0.7,12.229270880600644,25.3081283569336
5,0.15,1.0,0.8,11.037645617814228,29.20524978637696
5,0.15,1.0,0.9,10.55380273862407,29.51919174194336
5,0.15,1.0,1.0,9.947818583464189,30.078441619873047
6,0.15,0.0,0.0,36.047804330766326,21.42937088012696
6,0.15,0.0,0.1,36.047804330766326,21.42937088012696
6,0.15,0.0,0.2,36.047804330766326,21.42937088012696
6,0.15,0.0,0.3,36.047804330766326,21.42937088012696
6,0.15,0.0,0.4,36.047804330766326,21.42937088012696
6,0.15,0.0,0.5,36.047804330766326,21.42937088012696
6,0.15,0.0,0.6,36.047804330766326,21.42937088012696
6,0.15,0.0,0.7,36.047804330766326,21.42937088012696
6,0.15,0.0,0.8,36.047804330766326,21.42937088012696
6,0.15,0.0,0.9,36.047804330766326,21.42937088012696
6,0.15,0.0,1.0,36.047804330766326,21.42937088012696
6,0.15,0.1,0.0,36.03483450717192,21.61721611022949
6,0.15,0.1,0.1,30.696702161281884,21.643653869628903
6,0.15,0.1,0.2,30.696702161281884,21.643653869628903
6,0.15,0.1,0.3,30.696702161281884,21.643653869628903
6,0.15,0.1,0.4,30.696702161281884,21.643653869628903
6,0.15,0.1,0.5,30.696702161281884,21.643653869628903
6,0.15,0.1,0.6,30.696702161281884,21.643653869628903
6,0.15,0.1,0.7,30.696702161281884,21.643653869628903
6,0.15,0.1,0.8,30.696702161281884,21.643653869628903
6,0.15,0.1,0.9,30.696702161281884,21.643653869628903
6,0.15,0.1,1.0,30.696702161281884,21.643653869628903
6,0.15,0.2,0.0,35.9515103375506,21.53505516052246
